model,nwrmsle,wmape
Naive,0.745125321265437,0.7577663181414696
SeasonalNaive,0.7103232132968454,0.6000568764273563
AutoTheta,0.63186449857884,0.599128310705819
AutoETS,0.6444787844863578,0.5447583228534342
